x_tokens,y_tokens
"['what', 'you', 'did', 'brought', 'disgrace', 'on', 'the', 'whole', 'class']","['EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN']"
"['il', 'y', 'a', 'une', 'courte', 'émission', 'sur', 'les', 'actualités', 'locales', 'à', 'la', 'radio']","['FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR']"
"['il', 'est', 'grand', 'temps', 'que', 'les', 'enfants', 'aillent', 'dormir']","['FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR']"
"['ne', 'craignez', 'pas', 'de', 'faire', 'des', 'fautes', 'en', 'parlant', 'anglais']","['FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR']"
"['as-tu', 'eu', 'le', 'coup', 'de', 'foudre', 'pour', 'elle']","['FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR']"
"['maintenant', 'que', 'nous', 'sommes', 'seuls', 'amusons-nous']","['FR', 'FR', 'FR', 'FR', 'FR', 'FR']"
"['you', 'are', 'very', 'brave']","['EN', 'EN', 'EN', 'EN']"
"['lucy', 'came', 'to', 'see', 'me', 'three', 'days', 'ago']","['EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN']"
"[""j'ai"", 'cours', 'demain']","['FR', 'FR', 'FR']"
"['quand', 'as-tu', 'commencé', 'à', 'apprendre', ""l'anglais""]","['FR', 'FR', 'FR', 'FR', 'FR', 'FR']"
"['peter', 'était', 'un', 'joueur', 'de', 'jeux', 'vidéo', 'altruiste', 'il', 'donnait', 'des', 'objets', 'aux', 'gens', 'qui', 'en', 'avaient', 'besoin', 'plutôt', 'que', 'de', 'les', 'vendre', 'par', 'intérêt', 'personnel']","['FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR']"
"['en', 'ce', 'qui', 'concerne', ""l'anglais"", 'il', ""n'y"", 'a', 'pas', 'meilleur', 'que', 'moi']","['FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR']"
"['the', 'nurse', 'wound', 'my', 'leg', 'with', 'a', 'bandage']","['EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN']"
"['you', 'look', 'happy', 'today']","['EN', 'EN', 'EN', 'EN']"
"['the', 'vase', 'crashed', 'and', 'shattered', 'into', 'pieces']","['EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN']"
"['quelles', 'sont', 'les', 'nouvelles']","['FR', 'FR', 'FR', 'FR']"
"['il', 'a', 'beaucoup', 'neigé', ""l'année"", 'dernière']","['FR', 'FR', 'FR', 'FR', 'FR', 'FR']"
"['malgré', 'son', 'opulence', 'il', 'est', 'malheureux']","['FR', 'FR', 'FR', 'FR', 'FR', 'FR']"
"['that', 'which', 'is', 'easily', 'acquired', 'is', 'easily', 'lost']","['EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN']"
"['je', 'pense', 'que', 'tu', 'ferais', 'mieux', 'de', 'prendre', 'un', 'parapluie', 'au', 'cas', 'où', 'il', 'pleuvrait']","['FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR']"
"['on', ""t'a"", 'trompé']","['FR', 'FR', 'FR']"
"['it', 'was', 'raining', 'hard', 'so', 'we', 'played', 'indoors']","['EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN']"
"[""you're"", 'just', 'being', 'diplomatic']","['EN', 'EN', 'EN', 'EN']"
"['on', 'tenait', 'les', 'voyages', 'spatiaux', 'pour', 'impossible']","['FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR']"
"['lincoln', 'fut', 'un', 'grand', 'homme', ""d'état""]","['FR', 'FR', 'FR', 'FR', 'FR', 'FR']"
"['lightning', 'precedes', 'thunder']","['EN', 'EN', 'EN']"
"['speak', 'more', 'slowly', 'please']","['EN', 'EN', 'EN', 'EN']"
"['safety', 'is', 'what', 'matters', 'most']","['EN', 'EN', 'EN', 'EN', 'EN']"
"['je', 'te', 'prêterai', 'mon', 'carnet', 'de', 'notes']","['FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR']"
"['keep', 'away', 'from', 'the', 'fire']","['EN', 'EN', 'EN', 'EN', 'EN']"
"['nous', 'sommes', 'retournés', 'à', 'honolulu', 'le', 'avril']","['FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR']"
"['astonishment', 'deprived', 'me', 'of', 'speech']","['EN', 'EN', 'EN', 'EN', 'EN']"
"[""cole's"", 'axiom', 'the', 'sum', 'of', 'the', 'intelligence', 'on', 'the', 'planet', 'is', 'a', 'constant', 'the', 'population', 'is', 'growing']","['EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN']"
"['je', 'pense', ""qu'il"", 'vaut', 'mieux', 'ne', 'pas', 'essayer']","['FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR']"
"['ta', 'conduite', 'est', 'au-delà', 'du', 'supportable']","['FR', 'FR', 'FR', 'FR', 'FR', 'FR']"
"[""j'eusse"", 'aimé', 'que', 'tu', ""m'aies"", 'dit', 'la', 'vérité']","['FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR']"
"['je', 'voulais', 'juste', 'vérifier', 'mes', 'emails']","['FR', 'FR', 'FR', 'FR', 'FR', 'FR']"
"['having', 'seen', 'him', 'before', 'i', 'knew', 'him', 'at', 'once']","['EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN']"
"['do', 'you', 'have', 'a', 'room', ""that's"", 'a', 'little', 'cheaper']","['EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN']"
"['i', 'see', 'a', 'flower', 'on', 'the', 'desk']","['EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN']"
"['tu', 'parles']","['FR', 'FR']"
"['there', 'were', 'few', 'students', 'left', 'in', 'the', 'classroom']","['EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN']"
"['all', 'you', 'have', 'to', 'do', 'is', 'to', 'meet', 'her', 'there']","['EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN']"
"['ce', 'dont', 'tu', 'as', 'besoin', 'en', 'un', 'mot', ""c'est"", 'de', 'patience']","['FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR']"
"['fais', 'tout', 'ce', ""qu'il"", 'te', 'dit']","['FR', 'FR', 'FR', 'FR', 'FR', 'FR']"
"['do', 'you', 'know', 'the', 'reason']","['EN', 'EN', 'EN', 'EN', 'EN']"
"['il', 'fait', 'chaud', 'et', 'humide', ""l'été""]","['FR', 'FR', 'FR', 'FR', 'FR', 'FR']"
"[""you've"", 'been', 'properly', 'led', 'up', 'the', 'garden', 'path']","['EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN']"
"[""c'est"", 'dans', ""l'amour"", 'de', 'son', 'foyer', 'que', ""l'amour"", 'de', 'sa', 'patrie', 'prend', 'sa', 'source']","['FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR']"
['ouvre-moi'],['FR']
"[""don't"", 'step', 'on', 'the', 'broken', 'glass']","['EN', 'EN', 'EN', 'EN', 'EN', 'EN']"
"['the', 'elevators', 'in', 'a', 'skyscraper', 'are', 'vital', 'systems']","['EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN']"
"['après', 'pas', 'mal', 'de', 'discussions', 'nous', 'décidâmes', 'de', 'passer', 'les', 'vacances', 'en', 'espagne']","['FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR']"
"['please', 'drop', 'in', 'on', 'your', 'way', 'home']","['EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN']"
"['hundreds', 'of', 'people', 'were', 'waiting', 'outside', 'the', 'ticket', 'office']","['EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN']"
"['aussitôt', 'gagné', 'aussitôt', 'dépensé']","['FR', 'FR', 'FR', 'FR']"
"['your', 'idea', 'sounds', 'like', 'a', 'good', 'one']","['EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN']"
"['everybody', 'took', 'a', 'hostile', 'attitude', 'toward', 'illegal', 'aliens']","['EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN']"
"['es-tu', 'plus', 'jeune', 'que', 'lui']","['FR', 'FR', 'FR', 'FR', 'FR']"
"['you', 'must', 'educate', 'your', 'tongue', 'to', 'distinguish', 'good', 'coffee', 'from', 'bad']","['EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN']"
"[""j'ai"", 'vu', 'quelque', 'chose', ""d'étrange"", 'dans', 'le', 'ciel']","['FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR']"
"['ask', 'and', 'it', 'shall', 'be', 'given', 'you']","['EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN']"
"['veuillez', 'présenter', 'mes', 'amitiés', 'à', 'votre', 'père']","['FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR']"
"['grâce', 'à', 'votre', 'stupidité', 'nous', 'avons', 'perdu', 'la', 'partie']","['FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR']"
"['nous', 'avons', 'échangé', 'nos', 'numéros', 'de', 'téléphone', 'à', 'la', 'fin', 'de', ""l'assemblée""]","['FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR']"
"[""l'amour"", 'mène', 'le', 'monde']","['FR', 'FR', 'FR', 'FR']"
"['if', 'you', 'are', 'going', 'abroad', ""it's"", 'necessary', 'to', 'have', 'a', 'passport']","['EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN']"
"['je', 'les', 'appellerai', 'demain', 'quand', 'je', 'reviendrai']","['FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR']"
"['i', ""don't"", 'know', 'it', 'all', 'happened', 'in', 'an', 'instant']","['EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN']"
"['you', 'must', 'stick', 'to', 'your', 'promise']","['EN', 'EN', 'EN', 'EN', 'EN', 'EN']"
"['after', 'some', 'careful', 'thought', 'i', 'elected', 'to', 'stay', 'at', 'home']","['EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN']"
"['je', 'voudrais', 'y', 'aller', 'avec', 'toi']","['FR', 'FR', 'FR', 'FR', 'FR', 'FR']"
"['elle', 'est', 'vraiment', 'intelligente', ""n'est-ce"", 'pas']","['FR', 'FR', 'FR', 'FR', 'FR', 'FR']"
"['mon', 'plan', 'pour', ""l'été"", 'est', 'de', 'me', 'rendre', 'en', 'europe']","['FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR']"
"['dans', 'les', 'années', '50', 'on', 'citait', 'les', 'finnois', 'comme', 'ayant', 'les', 'régimes', 'alimentaires', 'les', 'moins', 'sains', 'du', 'monde']","['FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR']"
"['you', 'are', 'always', 'doubting', 'my', 'word']","['EN', 'EN', 'EN', 'EN', 'EN', 'EN']"
"['there', 'are', 'strange', 'rumors', 'afloat']","['EN', 'EN', 'EN', 'EN', 'EN']"
"['il', 'travailla', 'dur']","['FR', 'FR', 'FR']"
"[""it's"", 'a', 'piece', 'of', 'cake']","['EN', 'EN', 'EN', 'EN', 'EN']"
"['s', 'il', 'avait', 'suivi', 'son', 'conseil', 'il', 'aurait', 'réussi']","['FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR']"
"['why', 'do', 'you', 'want', 'to', 'buy', 'this', 'book']","['EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN']"
"['the', 'moon', 'is', 'invisible', 'behind', 'the', 'clouds']","['EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN']"
"['le', 'roi', 'était', 'en', 'fait', 'nu']","['FR', 'FR', 'FR', 'FR', 'FR', 'FR']"
"['can', 'you', 'pay', 'off', 'your', 'loans', 'in', 'a', 'year']","['EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN']"
"['you', 'have', 'only', 'to', 'give', 'him', 'a', 'little', 'help']","['EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN']"
"['some', 'of', 'the', 'birds', ""didn't"", 'fly']","['EN', 'EN', 'EN', 'EN', 'EN', 'EN']"
"['la', 'formation', 'et', 'le', 'mouvement', 'des', 'ouragans', 'sont', 'capricieux', 'même', 'avec', 'notre', 'technologie', 'contemporaine']","['FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR']"
"['tu', ""n'as"", 'pas', 'à', 'aller', 'à', ""l'école"", 'le', 'dimanche']","['FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR']"
"['there', 'is', 'a', 'lot', 'of', 'money']","['EN', 'EN', 'EN', 'EN', 'EN', 'EN']"
"['the', 'rugby', 'ball', 'is', 'shaped', 'something', 'like', 'an', 'egg']","['EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN']"
"['smoking', 'is', 'now', 'banned', 'on', 'all', 'domestic', 'plane', 'flights']","['EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN']"
"['please', 'do', 'something', 'about', 'it']","['EN', 'EN', 'EN', 'EN', 'EN']"
"['get', 'out', 'of', 'the', 'classroom']","['EN', 'EN', 'EN', 'EN', 'EN']"
"['mon', 'école', 'se', 'prépare', 'pour', 'le', 'festival', 'de', 'musique', 'du', 'campus']","['FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR']"
"[""i'll"", 'find', 'someone', 'to', 'fill', 'in', 'for', 'you']","['EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN']"
"['you', 'are', 'not', 'consistent']","['EN', 'EN', 'EN', 'EN']"
"['vous', ""n'avez"", 'rien', 'à', 'craindre']","['FR', 'FR', 'FR', 'FR', 'FR']"
"['ultimately', 'space', 'flight', 'will', 'be', 'beneficial', 'to', 'all', 'mankind']","['EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN']"
"[""qu'est-ce"", 'qui', 'vous', 'a', 'empêché', 'de', 'venir', 'plus', 'tôt']","['FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR']"
"['are', 'you', 'sure']","['EN', 'EN', 'EN']"
"[""what's"", 'your', 'wish']","['EN', 'EN', 'EN']"
"['we', 'are', 'subject', 'to', 'the', 'laws', 'of', 'nature']","['EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN']"
"['est-ce', 'que', 'tu', 'étudies', 'la', 'chimie']","['FR', 'FR', 'FR', 'FR', 'FR', 'FR']"
"[""n'es-tu"", 'pas', 'sorti']","['FR', 'FR', 'FR']"
"['je', 'me', 'précipitai', 'hors', 'de', 'la', 'maison']","['FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR']"
"['nies-tu', ""t'y"", 'être', 'rendu']","['FR', 'FR', 'FR', 'FR']"
"['the', 'town', 'was', 'flooded', 'with', 'strange', 'foreign', 'words']","['EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN']"
"['à', 'son', 'arrivée', 'à', 'londres', 'il', ""m'a"", 'envoyé', 'un', 'télégramme']","['FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR']"
"['it', 'is', 'already', 'eleven']","['EN', 'EN', 'EN', 'EN']"
"['tu', 'ne', 'devrais', 'pas', 'répondre', 'à', 'tes', 'parents', 'ainsi']","['FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR']"
"['je', 'vous', 'souhaite', 'le', 'bonjour']","['FR', 'FR', 'FR', 'FR', 'FR']"
"['la', 'radio', 'ne', 'marche', 'pas']","['FR', 'FR', 'FR', 'FR', 'FR']"
"['i', 'went', 'to', 'the', 'zoo', 'yesterday']","['EN', 'EN', 'EN', 'EN', 'EN', 'EN']"
"['le', 'monde', 'ne', 'tourne', 'pas', 'autour', 'de', 'toi']","['FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR']"
"['je', 'meurs', 'de', 'faim']","['FR', 'FR', 'FR', 'FR']"
"['les', 'vaches', 'nous', 'fournissent', 'du', 'bon', 'lait']","['FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR']"
"['nous', 'sommes', 'arrivés', 'les', 'premiers']","['FR', 'FR', 'FR', 'FR', 'FR']"
"['par-dessus', 'tout', 'fais', 'attention', 'à', 'tes', 'repas']","['FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR']"
"['nous', 'étions', 'incapables', 'de', 'suivre', 'sa', 'logique']","['FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR']"
"['les', 'ingénieurs', 'ne', 'cherchent', 'pas', 'tant', 'à', 'connaître', 'la', 'nature', ""qu'à"", 'en', 'faire', 'usage']","['FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR']"
"['gardez', 'un', 'bon', 'dictionnaire', 'sous', 'la', 'main']","['FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR']"
"['if', 'he', 'has', 'time', 'he', 'will', 'come']","['EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN']"
"['ma', 'mère', 'préfère', 'la', 'sélection', 'arbitraire', 'des', 'machines', 'de', 'loterie', 'à', 'mes', 'chiffres', 'fétiches']","['FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR']"
"['we', 'were', 'attacked', 'by', 'swarms', 'of', 'bees']","['EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN']"
"['i', 'hope', ""you'll"", 'like', 'it']","['EN', 'EN', 'EN', 'EN', 'EN']"
"['put', 'your', 'hands', 'down']","['EN', 'EN', 'EN', 'EN']"
"[""s'il"", 'vous', 'plaît', 'indiquez-le-moi', 'sur', 'la', 'carte']","['FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR']"
"['hé', 'que', ""s'est-il"", 'passé']","['FR', 'FR', 'FR', 'FR']"
"['pourquoi', 'ne', 'portes-tu', 'pas', 'de', 'vêtements', ""d'été""]","['FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR']"
"['do', 'you', 'have', 'any', 'coughing']","['EN', 'EN', 'EN', 'EN', 'EN']"
"['le', 'chef', 'de', 'la', 'guilde', 'relégua', 'vince', 'à', 'une', 'position', 'de', 'sous-officier', 'parce', ""qu'il"", 'abusait', 'de', 'son', 'pouvoir']","['FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR']"
"[""let's"", 'eat', 'out', 'for', 'a', 'change']","['EN', 'EN', 'EN', 'EN', 'EN', 'EN']"
"[""don't"", 'regard', 'me', 'as', 'your', 'father', 'anymore']","['EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN']"
"['that', 'was', 'probably', 'what', 'influenced', 'their', 'decision']","['EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN']"
"['nous', 'devrons', 'rentrer', 'à', 'la', 'maison', 'aussitôt', ""qu'il"", 'cessera', 'de', 'pleuvoir']","['FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR']"
"['you', 'must', 'make', 'allowance', 'for', 'his', 'lack', 'of', 'experience']","['EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN']"
"['nous', 'tremblions', 'tous', 'dans', 'le', 'froid', 'vif']","['FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR']"
"['staying', 'home', ""isn't"", 'fun']","['EN', 'EN', 'EN', 'EN']"
"['it', 'rained', 'so', 'hard', 'that', 'we', 'decided', 'to', 'visit', 'him', 'some', 'other', 'time']","['EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN']"
"['tell', 'me', 'what', 'you', 'want']","['EN', 'EN', 'EN', 'EN', 'EN']"
"['la', 'musique', 'rend', 'notre', 'vie', 'heureuse']","['FR', 'FR', 'FR', 'FR', 'FR', 'FR']"
"['avez-vous', 'une', 'opinion']","['FR', 'FR', 'FR']"
"[""j'ai"", 'contracté', 'un', 'mauvais', 'rhume']","['FR', 'FR', 'FR', 'FR', 'FR']"
"['si', 'nous', 'étions', 'dimanche', ""j'irais"", 'pêcher']","['FR', 'FR', 'FR', 'FR', 'FR', 'FR']"
"['quel', 'grand', 'supermarché']","['FR', 'FR', 'FR']"
"['tu', 'dois', 'arrêter', 'de', 'fumer']","['FR', 'FR', 'FR', 'FR', 'FR']"
"['je', 'déteste', 'la', 'chimie']","['FR', 'FR', 'FR', 'FR']"
"['whatever', 'you', 'may', 'say', 'i', ""don't"", 'believe', 'you']","['EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN']"
"['veuillez', ""m'indiquer"", 'comment', 'me', 'rendre', 'à', ""l'aéroport""]","['FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR']"
"[""don't"", 'brake', 'suddenly']","['EN', 'EN', 'EN']"
"['je', ""n'aime"", 'pas', 'votre', 'goût', 'pour', 'les', 'couleurs']","['FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR']"
"['you', 'should', 'have', 'come', 'earlier']","['EN', 'EN', 'EN', 'EN', 'EN']"
"['some', 'of', 'the', 'drivers', 'were', 'laughing', 'and', 'yelling']","['EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN']"
"['your', 'idea', 'is', 'absolutely', 'impossible']","['EN', 'EN', 'EN', 'EN', 'EN']"
"['beaucoup', 'de', 'touristes', 'visitent', 'kyoto']","['FR', 'FR', 'FR', 'FR', 'FR']"
"['tu', 'ne', 'seras', 'pas', 'en', 'retard', ""n'est-ce"", 'pas']","['FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR']"
"['je', 'ne', 'puis', 'accepter', 'ton', 'cadeau']","['FR', 'FR', 'FR', 'FR', 'FR', 'FR']"
"['school', 'begins', 'at', '8:', '10', 'a', 'm']","['EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN']"
"['the', 'value', 'of', 'the', 'yen', 'has', 'risen', 'greatly']","['EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN']"
"['il', 'y', 'avait', 'une', 'épaisse', 'brume', 'tout', 'autour']","['FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR']"
"['la', 'valeur', 'du', 'yen', 'a', 'grandement', 'augmenté']","['FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR']"
"['at', 'last', 'they', 'were', 'reconciled']","['EN', 'EN', 'EN', 'EN', 'EN']"
"['si', ""j'étais"", 'toi', 'je', 'ne', 'le', 'ferais', 'pas']","['FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR']"
"['what', 'do', 'you', 'want', 'now']","['EN', 'EN', 'EN', 'EN', 'EN']"
"['de', 'nos', 'jours', 'dans', 'les', 'affaires', 'trop', 'des', 'cadres', 'dépensent', 'de', ""l'argent"", ""qu'ils"", ""n'ont"", 'pas', 'gagné', 'pour', 'acheter', 'des', 'choses', 'dont', 'ils', ""n'ont"", 'pas', 'besoin', 'pour', 'impressionner', 'des', 'gens', ""qu'ils"", ""n'aiment"", 'même', 'pas']","['FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR']"
"['ne', 'marchez', 'pas', 'sur', 'les', 'éclats', 'de', 'verre']","['FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR']"
"['may', 'i', 'take', 'your', 'size', 'madam']","['EN', 'EN', 'EN', 'EN', 'EN', 'EN']"
"['you', ""can't"", 'speak', 'french', 'can', 'you']","['EN', 'EN', 'EN', 'EN', 'EN', 'EN']"
"['i', 'have', 'to', 'take', 'some', 'money', 'out', 'of', 'the', 'bank']","['EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN']"
